species	type	filename	invalid_chars	record_count	example_seq_id
Cicer_reticulatum	CDS	Cicer_reticulatum.rga.cds.fa	KMRSY	1	Cr_21789.1_v2
Cicer_reticulatum	CDS	Cicer_reticulatum.rga.cds.fa	MRSY	1	Cr_06083.1_v2
Cicer_reticulatum	CDS	Cicer_reticulatum.rga.cds.fa	M	1	Cr_24489.1_v2
Cicer_reticulatum	CDS	Cicer_reticulatum.rga.cds.fa	DMRY	1	Cr_00329.1_v2
Cicer_reticulatum	CDS	Cicer_reticulatum.rga.cds.fa	KMSY	1	Cr_23658.1_v2
Cicer_reticulatum	CDS	Cicer_reticulatum.rga.cds.fa	DHMR	1	Cr_25428.1_v2
Cicer_reticulatum	CDS	Cicer_reticulatum.rga.cds.fa	W	1	Cr_07466.1_v2
Cicer_reticulatum	CDS	Cicer_reticulatum.rga.cds.fa	DWY	1	Cr_12115.1_v2
Cicer_reticulatum	CDS	Cicer_reticulatum.rga.cds.fa	V	1	Cr_18523.1_v2
Cicer_reticulatum	CDS	Cicer_reticulatum.rga.cds.fa	MSW	1	Cr_13375.1_v2
Cicer_reticulatum	CDS	Cicer_reticulatum.rga.cds.fa	KRWY	1	Cr_23569.1_v2
Dichanthelium_oligosanthes	CDS	Dichanthelium_oligosanthes.rga.cds.fa	Y	11	Do004111.1_mrna
Dichanthelium_oligosanthes	CDS	Dichanthelium_oligosanthes.rga.cds.fa	M	9	Do029138.1_mrna
Dichanthelium_oligosanthes	CDS	Dichanthelium_oligosanthes.rga.cds.fa	K	6	Do025864.1_mrna
Dichanthelium_oligosanthes	CDS	Dichanthelium_oligosanthes.rga.cds.fa	R	6	Do001058.1_mrna
Dichanthelium_oligosanthes	CDS	Dichanthelium_oligosanthes.rga.cds.fa	S	4	Do027225.1_mrna
Dichanthelium_oligosanthes	CDS	Dichanthelium_oligosanthes.rga.cds.fa	RY	3	Do018282.1_mrna
Dichanthelium_oligosanthes	CDS	Dichanthelium_oligosanthes.rga.cds.fa	RS	2	Do024004.1_mrna
Dichanthelium_oligosanthes	CDS	Dichanthelium_oligosanthes.rga.cds.fa	KY	2	Do019687.1_mrna
Dichanthelium_oligosanthes	CDS	Dichanthelium_oligosanthes.rga.cds.fa	RSY	2	Do016777.1_mrna
Dichanthelium_oligosanthes	CDS	Dichanthelium_oligosanthes.rga.cds.fa	W	2	Do028235.1_mrna
Dichanthelium_oligosanthes	CDS	Dichanthelium_oligosanthes.rga.cds.fa	MRY	1	Do026561.1_mrna
Dichanthelium_oligosanthes	CDS	Dichanthelium_oligosanthes.rga.cds.fa	RW	1	Do027522.1_mrna
Dichanthelium_oligosanthes	CDS	Dichanthelium_oligosanthes.rga.cds.fa	MY	1	Do016645.1_mrna
Dichanthelium_oligosanthes	CDS	Dichanthelium_oligosanthes.rga.cds.fa	SW	1	Do015559.1_mrna
Dichanthelium_oligosanthes	CDS	Dichanthelium_oligosanthes.rga.cds.fa	MRSY	1	Do028353.1_mrna
Dionaea_muscipula	CDS	Dionaea_muscipula.rga.cds.fa	R	30	Dm_00008636-RA
Dionaea_muscipula	CDS	Dionaea_muscipula.rga.cds.fa	RY	24	Dm_00008642-RA
Dionaea_muscipula	CDS	Dionaea_muscipula.rga.cds.fa	Y	18	Dm_00006270-RA
Dionaea_muscipula	CDS	Dionaea_muscipula.rga.cds.fa	RSY	15	Dm_00003219-RA
Dionaea_muscipula	CDS	Dionaea_muscipula.rga.cds.fa	SY	10	Dm_00002216-RA
Dionaea_muscipula	CDS	Dionaea_muscipula.rga.cds.fa	RS	8	Dm_00017558-RA
Dionaea_muscipula	CDS	Dionaea_muscipula.rga.cds.fa	S	8	Dm_00019949-RA
Dionaea_muscipula	CDS	Dionaea_muscipula.rga.cds.fa	KRSY	7	Dm_00005017-RA
Dionaea_muscipula	CDS	Dionaea_muscipula.rga.cds.fa	M	7	Dm_00019787-RA
Dionaea_muscipula	CDS	Dionaea_muscipula.rga.cds.fa	KRY	6	Dm_00000668-RA
Dionaea_muscipula	CDS	Dionaea_muscipula.rga.cds.fa	MR	5	Dm_00003850-RA
Dionaea_muscipula	CDS	Dionaea_muscipula.rga.cds.fa	MRWY	5	Dm_00006446-RA
Dionaea_muscipula	CDS	Dionaea_muscipula.rga.cds.fa	K	5	Dm_00020702-RA
Dionaea_muscipula	CDS	Dionaea_muscipula.rga.cds.fa	MRSY	4	Dm_00006419-RA
Dionaea_muscipula	CDS	Dionaea_muscipula.rga.cds.fa	KMRY	4	Dm_00007182-RA
Dionaea_muscipula	CDS	Dionaea_muscipula.rga.cds.fa	RSWY	4	Dm_00006417-RA
Dionaea_muscipula	CDS	Dionaea_muscipula.rga.cds.fa	MY	4	Dm_00002016-RA
Dionaea_muscipula	CDS	Dionaea_muscipula.rga.cds.fa	KRS	3	Dm_00019525-RA
Dionaea_muscipula	CDS	Dionaea_muscipula.rga.cds.fa	MRW	3	Dm_00000015-RA
Dionaea_muscipula	CDS	Dionaea_muscipula.rga.cds.fa	SW	3	Dm_00007511-RA
Dionaea_muscipula	CDS	Dionaea_muscipula.rga.cds.fa	RWY	3	Dm_00011994-RA
Dionaea_muscipula	CDS	Dionaea_muscipula.rga.cds.fa	RW	3	Dm_00010337-RA
Dionaea_muscipula	CDS	Dionaea_muscipula.rga.cds.fa	KY	3	Dm_00015418-RA
Dionaea_muscipula	CDS	Dionaea_muscipula.rga.cds.fa	MRY	3	Dm_00013880-RA
Dionaea_muscipula	CDS	Dionaea_muscipula.rga.cds.fa	MSW	2	Dm_00009341-RA
Dionaea_muscipula	CDS	Dionaea_muscipula.rga.cds.fa	KRWY	2	Dm_00020243-RA
Dionaea_muscipula	CDS	Dionaea_muscipula.rga.cds.fa	MSY	2	Dm_00001427-RA
Dionaea_muscipula	CDS	Dionaea_muscipula.rga.cds.fa	MRS	2	Dm_00015285-RA
Dionaea_muscipula	CDS	Dionaea_muscipula.rga.cds.fa	KMRSY	2	Dm_00006317-RA
Dionaea_muscipula	CDS	Dionaea_muscipula.rga.cds.fa	KWY	2	Dm_00012215-RA
Dionaea_muscipula	CDS	Dionaea_muscipula.rga.cds.fa	RSW	2	Dm_00005105-RA
Dionaea_muscipula	CDS	Dionaea_muscipula.rga.cds.fa	KW	2	Dm_00006418-RA
Dionaea_muscipula	CDS	Dionaea_muscipula.rga.cds.fa	KMRWY	2	Dm_00002825-RA
Dionaea_muscipula	CDS	Dionaea_muscipula.rga.cds.fa	KMRSW	2	Dm_00001424-RA
Dionaea_muscipula	CDS	Dionaea_muscipula.rga.cds.fa	MW	2	Dm_00002958-RA
Dionaea_muscipula	CDS	Dionaea_muscipula.rga.cds.fa	MRSW	2	Dm_00001767-RA
Dionaea_muscipula	CDS	Dionaea_muscipula.rga.cds.fa	W	2	Dm_00013652-RA
Dionaea_muscipula	CDS	Dionaea_muscipula.rga.cds.fa	KR	2	Dm_00003344-RA
Dionaea_muscipula	CDS	Dionaea_muscipula.rga.cds.fa	KRW	1	Dm_00006025-RA
Dionaea_muscipula	CDS	Dionaea_muscipula.rga.cds.fa	BKRY	1	Dm_00003218-RA
Dionaea_muscipula	CDS	Dionaea_muscipula.rga.cds.fa	BRY	1	Dm_00013437-RA
Dionaea_muscipula	CDS	Dionaea_muscipula.rga.cds.fa	KMY	1	Dm_00016678-RA
Dionaea_muscipula	CDS	Dionaea_muscipula.rga.cds.fa	MS	1	Dm_00004623-RA
Dionaea_muscipula	CDS	Dionaea_muscipula.rga.cds.fa	KMWY	1	Dm_00009688-RA
Dionaea_muscipula	CDS	Dionaea_muscipula.rga.cds.fa	KRSWY	1	Dm_00014593-RA
Dionaea_muscipula	CDS	Dionaea_muscipula.rga.cds.fa	KMR	1	Dm_00004232-RA
Dionaea_muscipula	CDS	Dionaea_muscipula.rga.cds.fa	KMRS	1	Dm_00015486-RA
Dionaea_muscipula	CDS	Dionaea_muscipula.rga.cds.fa	WY	1	Dm_00002699-RA
Dionaea_muscipula	CDS	Dionaea_muscipula.rga.cds.fa	MWY	1	Dm_00003863-RA
Dionaea_muscipula	CDS	Dionaea_muscipula.rga.cds.fa	KRSW	1	Dm_00007332-RA
Dionaea_muscipula	CDS	Dionaea_muscipula.rga.cds.fa	KMW	1	Dm_00004506-RA
Dionaea_muscipula	CDS	Dionaea_muscipula.rga.cds.fa	MRSWY	1	Dm_00004466-RA
Drosera_spatulata	CDS	Drosera_spatulata.rga.cds.fa	K	1	Ds_00004653-RA
Drosera_spatulata	CDS	Drosera_spatulata.rga.cds.fa	S	1	Ds_00016643-RA
Drosera_spatulata	CDS	Drosera_spatulata.rga.cds.fa	M	1	Ds_00010647-RA
Dunaliella_salina	CDS	Dunaliella_salina.rga.cds.fa	RY	3	Dusal.0356s00002.1
Dunaliella_salina	CDS	Dunaliella_salina.rga.cds.fa	R	1	Dusal.0268s00018.1
Dunaliella_salina	CDS	Dunaliella_salina.rga.cds.fa	WY	1	Dusal.0442s00001.1
Dunaliella_salina	CDS	Dunaliella_salina.rga.cds.fa	K	1	Dusal.0490s00014.1
Dunaliella_salina	CDS	Dunaliella_salina.rga.cds.fa	KRY	1	Dusal.1788s00001.1
Lolium_perenne	CDS	Lolium_perenne.rga.cds.fa	Y	2	V3.Lp_chr3_0G17886.1
Lolium_perenne	CDS	Lolium_perenne.rga.cds.fa	R	2	V3.Lp_chr7_0.1G100.1
Lolium_perenne	CDS	Lolium_perenne.rga.cds.fa	S	2	V3.Lp_chr4_0G354.1
Lolium_perenne	CDS	Lolium_perenne.rga.cds.fa	KRSY	1	V3.Lp_chr1_0G1862.1
Lolium_perenne	CDS	Lolium_perenne.rga.cds.fa	KMRSWY	1	V3.Lp_chr3_0G17344.1
Lolium_perenne	CDS	Lolium_perenne.rga.cds.fa	KMY	1	V3.Lp_chr4_0G1434.1
Lolium_perenne	CDS	Lolium_perenne.rga.cds.fa	KMS	1	V3.Lp_chr4_0G13294.1
Lolium_perenne	CDS	Lolium_perenne.rga.cds.fa	KSY	1	V3.Lp_chr5_0G3490.1
Lolium_perenne	CDS	Lolium_perenne.rga.cds.fa	MW	1	V3.Lp_chr4_0G9570.1
Lolium_perenne	CDS	Lolium_perenne.rga.cds.fa	W	1	V3.Lp_chr1_0G14974.1
Lolium_perenne	CDS	Lolium_perenne.rga.cds.fa	MRY	1	V3.Lp_scaffold_1008G18.1
Lolium_perenne	CDS	Lolium_perenne.rga.cds.fa	KY	1	V3.Lp_chr6_0G3028.1
Lolium_perenne	CDS	Lolium_perenne.rga.cds.fa	K	1	V3.Lp_chr6_0G2094.1
Lolium_perenne	CDS	Lolium_perenne.rga.cds.fa	RW	1	V3.Lp_chr2_0G4852.1
Lolium_perenne	CDS	Lolium_perenne.rga.cds.fa	MRSWY	1	V3.Lp_chr4_0G5184.1
Nepeta_cataria	CDS	Nepeta_cataria.rga.cds.fa	R	340	g35745.t1
Nepeta_cataria	CDS	Nepeta_cataria.rga.cds.fa	Y	265	g31680.t1.3.5b2d4a2d
Nepeta_cataria	CDS	Nepeta_cataria.rga.cds.fa	RY	244	g16647.t1
Nepeta_cataria	CDS	Nepeta_cataria.rga.cds.fa	S	85	g9198.t1
Nepeta_cataria	CDS	Nepeta_cataria.rga.cds.fa	W	82	g45513.t1
Nepeta_cataria	CDS	Nepeta_cataria.rga.cds.fa	RWY	81	g9215.t1
Nepeta_cataria	CDS	Nepeta_cataria.rga.cds.fa	K	77	g19166.t1
Nepeta_cataria	CDS	Nepeta_cataria.rga.cds.fa	KMRSWY	75	g21194.t1
Nepeta_cataria	CDS	Nepeta_cataria.rga.cds.fa	MRY	73	g22102.t1
Nepeta_cataria	CDS	Nepeta_cataria.rga.cds.fa	KRY	67	g23912.t1
Nepeta_cataria	CDS	Nepeta_cataria.rga.cds.fa	M	65	g20879.t1.1.5b2d4a26
Nepeta_cataria	CDS	Nepeta_cataria.rga.cds.fa	KMRY	55	g31587.t1
Nepeta_cataria	CDS	Nepeta_cataria.rga.cds.fa	KMRWY	53	g32446.t1
Nepeta_cataria	CDS	Nepeta_cataria.rga.cds.fa	KY	51	g14942.t1
Nepeta_cataria	CDS	Nepeta_cataria.rga.cds.fa	WY	48	g20793.t1
Nepeta_cataria	CDS	Nepeta_cataria.rga.cds.fa	KMRSY	46	g8612.t1.1.5b2d4a2e.9.5b2d6aef
Nepeta_cataria	CDS	Nepeta_cataria.rga.cds.fa	KR	44	g25267.t1
Nepeta_cataria	CDS	Nepeta_cataria.rga.cds.fa	RSY	43	g31247.t1
Nepeta_cataria	CDS	Nepeta_cataria.rga.cds.fa	MRWY	42	g41428.t1
Nepeta_cataria	CDS	Nepeta_cataria.rga.cds.fa	KRSWY	41	g26615.t1.1.5b2d4a2a
Nepeta_cataria	CDS	Nepeta_cataria.rga.cds.fa	MY	39	g52349.t1
Nepeta_cataria	CDS	Nepeta_cataria.rga.cds.fa	KRSY	37	g26714.t1
Nepeta_cataria	CDS	Nepeta_cataria.rga.cds.fa	MR	36	g1452.t1.2.5b2d4a2e
